num,District Name,Full Name,Party,Percent Votes,fullname_w,party_w,percentvotes_w
10001,Avalon,Scott Andrews,No Affiliation,17.8,Ken Ken,Liberal,55.9
10001,Avalon,Jeannie Baldwin,NDP-New Democratic Party,14.4,Ken Ken,Liberal,55.9
10001,Avalon,Lorraine E. Barnett,Conservative,11.1,Ken Ken,Liberal,55.9
10001,Avalon,Krista Byrne-Puumala,Green Party,0.5,Ken Ken,Liberal,55.9
10001,Avalon,Jennifer McCreath,Forces et Démocratie - Allier les forces de nos régions,0.2,Ken Ken,Liberal,55.9
10001,Avalon,Ken McDonald,Liberal,55.9,Ken Ken,Liberal,55.9
10002,Bonavista--Burin--Trinity,Jenn Brown,NDP-New Democratic Party,7.3,Judy M. Judy M.,Liberal,81.8
10002,Bonavista--Burin--Trinity,Tyler John Colbourne,Green Party,0.8,Judy M. Judy M.,Liberal,81.8
10002,Bonavista--Burin--Trinity,Judy M. Foote,Liberal,81.8,Judy M. Judy M.,Liberal,81.8
10002,Bonavista--Burin--Trinity,Mike Windsor,Conservative,10.1,Judy M. Judy M.,Liberal,81.8
10003,Coast of Bays--Central--Notre Dame,Claudette Menchenton,NDP-New Democratic Party,6.1,Scott Scott,Liberal,74.8
10003,Coast of Bays--Central--Notre Dame,Kevin George O'Brien,Conservative,18.3,Scott Scott,Liberal,74.8
10003,Coast of Bays--Central--Notre Dame,Elizabeth Perry,Green Party,0.8,Scott Scott,Liberal,74.8
10003,Coast of Bays--Central--Notre Dame,Scott Simms,Liberal,74.8,Scott Scott,Liberal,74.8
10004,Labrador,Yvonne Jones,Liberal,71.8,Yvonne Yvonne,Liberal,71.8
10004,Labrador,Peter Penashue,Conservative,13.9,Yvonne Yvonne,Liberal,71.8
10004,Labrador,Edward Rudkowski,NDP-New Democratic Party,14.4,Yvonne Yvonne,Liberal,71.8
10005,Long Range Mountains,Devon Babstock,NDP-New Democratic Party,11.3,Gudie Gudie,Liberal,73.9
10005,Long Range Mountains,Terry Cormier,Green Party,2.7,Gudie Gudie,Liberal,73.9
10005,Long Range Mountains,Gudie Hutchings,Liberal,73.9,Gudie Gudie,Liberal,73.9
10005,Long Range Mountains,Wayne Ruth,Conservative,12.2,Gudie Gudie,Liberal,73.9
10006,St. John's East,Sean Burton,Communist,0.3,Nick Nick,Liberal,46.7
10006,St. John's East,Jack Harris,NDP-New Democratic Party,45.3,Nick Nick,Liberal,46.7
10006,St. John's East,David Anthony Peters,Green Party,1.1,Nick Nick,Liberal,46.7
10006,St. John's East,Deanne Stapleton,Conservative,6.5,Nick Nick,Liberal,46.7
10006,St. John's East,Nick Whalen,Liberal,46.7,Nick Nick,Liberal,46.7
10007,St. John's South--Mount Pearl,Ryan Cleary,NDP-New Democratic Party,36.8,Seamus Seamus,Liberal,57.9
10007,St. John's South--Mount Pearl,Marek Krol,Conservative,4.6,Seamus Seamus,Liberal,57.9
10007,St. John's South--Mount Pearl,Jackson McLean,Green Party,0.8,Seamus Seamus,Liberal,57.9
10007,St. John's South--Mount Pearl,Seamus O'Regan,Liberal,57.9,Seamus Seamus,Liberal,57.9
11001,Cardigan,Billy Cann,NDP-New Democratic Party,11.1,Lawrence Lawrence,Liberal,65.0
11001,Cardigan,Teresa Doyle,Green Party,6.4,Lawrence Lawrence,Liberal,65.0
11001,Cardigan,Lawrence MacAulay,Liberal,65.0,Lawrence Lawrence,Liberal,65.0
11001,Cardigan,Julius Patkai,Conservative,16.2,Lawrence Lawrence,Liberal,65.0
11001,Cardigan,Christene Squires,Christian Heritage Party,1.3,Lawrence Lawrence,Liberal,65.0
11002,Charlottetown,Joe Byrne,NDP-New Democratic Party,23.1,Sean Sean,Liberal,56.3
11002,Charlottetown,Sean Casey,Liberal,56.3,Sean Sean,Liberal,56.3
11002,Charlottetown,Ron MacMillan,Conservative,14.8,Sean Sean,Liberal,56.3
11002,Charlottetown,Becka Viau,Green Party,5.8,Sean Sean,Liberal,56.3
11003,Egmont,Herb Dickieson,NDP-New Democratic Party,19.2,Bobby Bobby,Liberal,49.3
11003,Egmont,Nils Ling,Green Party,2.6,Bobby Bobby,Liberal,49.3
11003,Egmont,Bobby Morrissey,Liberal,49.3,Bobby Bobby,Liberal,49.3
11003,Egmont,Gail Shea,Conservative,29.0,Bobby Bobby,Liberal,49.3
11004,Malpeque,Wayne Easter,Liberal,62.1,Wayne Wayne,Liberal,62.1
11004,Malpeque,Leah-Jane Hayward,NDP-New Democratic Party,11.2,Wayne Wayne,Liberal,62.1
11004,Malpeque,Lynne Lund,Green Party,9.2,Wayne Wayne,Liberal,62.1
11004,Malpeque,Stephen Stewart,Conservative,17.6,Wayne Wayne,Liberal,62.1
12001,Cape Breton--Canso,Maria Goretti Coady,Green Party,3.0,Rodger Rodger,Liberal,74.4
12001,Cape Breton--Canso,Rodger Cuzner,Liberal,74.4,Rodger Rodger,Liberal,74.4
12001,Cape Breton--Canso,Adam Daniel Rodgers,Conservative,14.4,Rodger Rodger,Liberal,74.4
12001,Cape Breton--Canso,Michelle Smith,NDP-New Democratic Party,8.2,Rodger Rodger,Liberal,74.4
12002,Central Nova,Fred DeLorey,Conservative,25.8,Sean Sean,Liberal,58.5
12002,Central Nova,Sean Fraser,Liberal,58.5,Sean Sean,Liberal,58.5
